food_name,category,calories,protein,carbs,fat,iron,vitamin_c,protien_level
"Apple, candied",Apples,134,1.34,29.61,2.15,0.12,3.6,low
"Apple, raw",Apples,61,0.17,14.8,0.15,0.03,4.6,low
"Apple, dried",Dried fruits,243,0.93,65.89,0.32,1.4,3.9,low
"Crisp, apple",Cakes and pies,215,2.81,30.18,9.59,1,0.6,low
"Apple, baked",Apples,113,0.32,22.7,3.08,0.19,3.9,low
Apple cider,Apple juice,46,0.1,11.3,0.13,0.12,0.9,low
"Cobbler, apple",Cakes and pies,217,2.05,33.56,8.66,0.98,0.6,low
"Croissants, apple",Baked Products,1060,7.4,37.1,8.7,1.1,0.5,moderate
"Pie, apple",Cakes and pies,296,2.7,37.55,15.28,1.23,0.5,low
"Strudel, apple",Cakes and pies,281,1.96,37.18,14.08,0.3,0.5,low
Apple pie filling,Apples,100,0.1,26.1,0.1,0.29,1.7,low
"Apple juice, 100%",Apple juice,48,0.09,11.34,0.25,0.06,38.6,low
Apple salad with dressing,Other fruits and fruit salads,180,1.45,12.2,14.24,0.28,3.4,low
"Cake or cupcake, apple",Cakes and pies,376,2.41,52.52,17.5,0.9,0.2,low
"Fruit butters, apple",Sweets,173,0.39,42.5,0.3,0.31,0.6,low
"Rose-apples, raw",Fruits and Fruit Juices,105,0.6,5.7,0.3,0.07,22.3,low
"Carrots, raw, salad with apples","Coleslaw, non-lettuce salads",181,0.85,8.59,16.02,0.16,6.4,low
"Banana, baked",Bananas,161,0.82,32.43,3.21,0.06,10.4,low
"Banana, raw",Bananas,97,0.74,22.71,0.28,0,12,low
Banana chips,Dried fruits,519,2.3,58.4,33.6,1.25,6.3,low
Banana nectar,Fruit drinks,74,0.26,18.01,0.13,0,4.3,low
Banana pudding,Pudding,160,2.57,28,4.26,0.42,3.2,low
Banana split,Ice cream and frozen dairy desserts,199,2.42,32.59,6.88,0.17,4.5,low
"Bananas, raw",Fruits and Fruit Juices,371,1.09,22.8,0.33,0.26,8.7,low
"Bananas, overripe, raw",Fruits and Fruit Juices,85,0.73,20.1,0.22,,9.7,low
"Cake or cupcake, banana",Cakes and pies,379,2.47,53.07,17.51,0.88,1,low
"Melon, banana (Navajo)",American Indian/Alaska Native Foods,90,0.84,4.06,0.2,0.21,8.1,low
"Pepper, banana, raw",Vegetables and Vegetable Products,27,1.66,5.35,0.45,0.46,82.7,low
"Peppers, banana, raw",Other vegetables and combinations,27,1.66,5.35,0.45,0.46,82.7,low
"Pie, banana cream",Cakes and pies,284,2.42,32.35,16.17,0.6,0.8,low
"Snacks, banana chips",Snacks,519,2.3,58.4,33.6,1.25,6.3,low
"Orange, raw",Citrus fruits,50,0.92,11.78,0.14,0.22,56.2,low
"Marmalade, orange",Sweets,246,0.3,66.3,0,0.15,4.8,low
Orange Blossom,Liquor and cocktails,98,0.57,9.32,0.26,0.06,21.2,low
Orange chicken,Stir-fry and soy-based sauce mixtures,262,14.46,22.46,12.68,0.94,0.9,Good
"Sherbet, orange",Sweets,144,1.1,30.4,2,0.14,2.3,low
"Orange, canned, NFS",Citrus fruits,46,0.6,11.82,0.04,0.26,33.3,low
"Beverages, carbonated, orange",Beverages,201,0,12.3,0,0.06,0,low
"Orange peel, raw",Fruits and Fruit Juices,405,1.5,25,0.2,0.8,136,low
"Orange, canned, in syrup",Citrus fruits,55,0.59,14.07,0.04,0.26,32.5,low
"Oranges, raw, Florida",Fruits and Fruit Juices,46,0.7,11.5,0.21,0.09,45,low
"Oranges, raw, navels",Fruits and Fruit Juices,47,0.91,11.8,0.15,0.33,59.1,low
"Oranges, raw, with peel",Fruits and Fruit Juices,262,1.3,15.5,0.3,0.8,71,low
"Tomatoes, orange, raw",Vegetables and Vegetable Products,67,1.16,3.18,0.19,0.47,16,low
"Grapes, raw",Grapes,83,0.9,19.4,0.2,0.18,3.2,low
"Grape juice, 100%",Other fruit juice,66,0.18,15.73,0.28,0.08,50.4,low
"Grape leaves, canned",Vegetables and Vegetable Products,69,4.27,11.7,1.97,2.98,11.3,low
"Grape leaves, raw",Vegetables and Vegetable Products,390,5.6,17.3,2.12,2.63,11.1,moderate
"Grapes, muscadine, raw",Fruits and Fruit Juices,238,0.81,13.9,0.47,0.26,6.5,low
"Tomatoes, grape, raw",Vegetables and Vegetable Products,27,0.83,5.51,0.63,0.33,27.2,low
"Beverages, carbonated, grape soda",Beverages,180,0,11.2,0,0.08,0,low
"Beverages, grape drink, canned",Beverages,61,0,15.7,0,0.07,31.4,low
"Grape juice drink, light",Fruit drinks,23,0.06,5.51,0.1,0.03,17.6,low
Grape leaves stuffed with rice,Rice mixed dishes,168,2.28,13.88,11.95,1.25,5.6,low
"Beverages, grape juice drink, canned",Beverages,237,0,14.6,0,0.13,26.5,low
"Beverages, OCEAN SPRAY, Cran Grape",Beverages,224,0.21,13.2,0,0.04,28.1,low
"Grape juice, 100%, with calcium added",Other fruit juice,62,0.37,14.77,0.13,0.25,25,low
Stuffed grape leaves with beef and rice,Meat mixed dishes,228,8.15,11.3,17.03,1.91,9.7,moderate
Stuffed grape leaves with lamb and rice,Meat mixed dishes,271,8.17,11.89,21.52,1.83,8,moderate
"Mango, raw",Mango and papaya,60,0.82,14.98,0.38,0.16,36.4,low
"Mango, canned",Mango and papaya,65,0.62,16.22,0.3,0.12,21.8,low
"Mango, frozen",Mango and papaya,60,0.82,14.98,0.38,0.16,36.4,low
Mango nectar,Fruit drinks,51,0.11,13.12,0.06,0.36,15.2,low
"Mango, dried",Dried fruits,319,2.45,78.58,1.18,0.23,42.3,low
"Mangos, raw",Fruits and Fruit Juices,60,0.82,15,0.38,0.16,36.4,low
"Mango nectar, canned",Fruits and Fruit Juices,51,0.11,13.1,0.06,0.36,15.2,low
"Mango, dried, sweetened",Fruits and Fruit Juices,1340,2.45,78.6,1.18,0.23,42.3,low
"Beverages, V8 SPLASH Smoothies, Peach Mango",Beverages,37,1.22,7.76,0,0.15,24.5,low
"Yogurt, Greek, 2% fat, mango, CHOBANI",Dairy and Egg Products,93,7.64,11.8,1.69,0.03,0,moderate
"Beverages, V8 SPLASH Juice Drinks, Mango Peach",Beverages,33,0,8.23,0,,24.7,low
"Beverages, V8 V-FUSION Juices, Peach Mango",Beverages,49,0.41,11.4,0,0.15,24.4,low
"Fruit juice smoothie, NAKED JUICE, MIGHTY MANGO",Fruits and Fruit Juices,262,0.42,15,0,0.15,2.5,low
"Salsa, red, homemade",Tomato-based condiments,34,1.44,6.74,0.19,0.42,1.9,low
"Pear, raw",Pears,59,0.37,15.18,0.15,0.18,4.3,low
Pear nectar,Fruit drinks,60,0.11,15.76,0.01,0.26,1.1,low
"Pear, dried",Dried fruits,262,1.87,69.7,0.63,2.1,7,low
"Pears, raw",Fruits and Fruit Juices,57,0.36,15.2,0.14,0.18,4.3,low
"Pear, Asian, raw",Pears,42,0.5,10.65,0.23,0,3.8,low
"Pear, canned, in syrup",Pears,59,0.18,15.15,0.05,0.2,0.9,low
"Pear, canned, NFS",Pears,52,0.2,13.47,0.06,0.25,1,low
"Pears, asian, raw",Fruits and Fruit Juices,176,0.5,10.6,0.23,0,3.8,low
"Pears, raw, bartlett",Fruits and Fruit Juices,238,0.38,15.1,0.16,0.17,4.4,low
"Prickly pears, raw",Fruits and Fruit Juices,172,0.73,9.57,0.51,0.3,14,low
"Pear, canned, juice pack",Pears,45,0.23,11.79,0.07,0.29,1.1,low
"Pears, dried, sulfured, uncooked",Fruits and Fruit Juices,1100,1.87,69.7,0.63,2.1,7,low
"Pears, raw, red anjou",Fruits and Fruit Juices,62,0.33,14.9,0.14,0.19,5.2,low
"Strawberries, raw",Strawberries,36,0.64,7.96,0.22,0.26,59.6,low
"Strawberries, canned",Strawberries,92,0.56,23.53,0.26,0.49,31.7,low
"Strawberries, frozen",Strawberries,35,0.43,9.13,0.11,0.75,41.2,low
"Pie, strawberry",Cakes and pies,289,2.88,44.22,11.6,1.37,15.8,low
"Toppings, strawberry",Sweets,1060,0.2,66.3,0.1,0.28,13.7,low
"Cake or cupcake, strawberry",Cakes and pies,326,2.22,50.25,12.89,0.87,3.3,low
"Cake, strawberry shortcake",Cakes and pies,214,3.31,40.09,4.73,1.6,12.4,low
"Guavas, strawberry, raw",Fruits and Fruit Juices,289,0.58,17.4,0.6,0.22,37,low
"Ice creams, strawberry",Sweets,803,3.2,27.6,8.4,0.21,7.7,low
"McDONALD'S, Strawberry Sundae",Fast Foods,158,3.19,28.1,3.95,0.1,1.5,low
Strawberry drink syrup,"Jams, syrups, toppings",261,0,65.1,0.02,0.03,0,low
"Strawberry juice, 100%",Other fruit juice,23,0.42,5.17,0.14,0.17,38.7,low
